task_id,name,category,version,n_param,LOC_Total,LOC_Code,LOC_Comment,Comment_Density,CC_Average,CC_Max,CC_Functions,MI_Score,MI_Rank,H_Volume,H_Difficulty,H_Effort,H_Bugs,Cognitive_CC,Max_Nesting,Avg_Func_Length,Code_Smells,Duplicate_Pct
1,bubble_sort,sorting,v1_clean,4000,41,35,0,0.0,5.666666666666667,11,3,47.525137616741794,A,217.98463765702255,5.043478260869565,1099.4007812267225,0.07266154588567418,18,4,8.666666666666666,5,0.0
1,bubble_sort,sorting,v2_medium,4000,50,45,0,0.0,5.666666666666667,11,3,44.3894797727514,A,305.0255750850964,6.5,1982.6662380531268,0.10167519169503214,36,7,11.666666666666666,4,2.2222222222222223
1,bubble_sort,sorting,v3_bad,4000,74,69,0,0.0,7.666666666666667,13,3,39.19294033777511,A,341.11528837383304,6.672413793103448,2276.062355184024,0.11370509612461101,71,10,19.333333333333332,11,20.28985507246377
2,insertion_sort,sorting,v1_clean,6000,39,33,0,0.0,5.333333333333333,11,3,48.10481719868726,A,225.0,5.869565217391305,1320.6521739130435,0.075,14,4,8.0,5,0.0
2,insertion_sort,sorting,v2_medium,6000,48,43,0,0.0,5.333333333333333,11,3,44.880407465510075,A,312.567201937737,7.407407407407407,2315.3126069462,0.10418906731257901,32,7,11.0,4,2.3255813953488373
2,insertion_sort,sorting,v3_bad,6000,70,65,0,0.0,6.666666666666667,13,3,40.094145154305586,A,348.83654644490844,7.586206896551724,2646.34621440965,0.11627884881496948,60,10,18.0,9,20.0
3,selection_sort,sorting,v1_clean,4500,39,33,0,0.0,5.333333333333333,11,3,49.56251380990506,A,139.31568569324173,3.1578947368421053,439.9442706102371,0.04643856189774724,16,4,8.0,6,0.0
3,selection_sort,sorting,v2_medium,4500,48,43,0,0.0,5.333333333333333,11,3,45.96764561566401,A,218.60914478074076,3.9130434782608696,855.4270882724638,0.07286971492691359,34,7,11.0,5,2.3255813953488373
3,selection_sort,sorting,v3_bad,4500,71,66,0,0.0,7.0,13,3,40.79583515379989,A,252.66401182973067,4.08,1030.8691682653011,0.0842213372765769,66,10,18.333333333333332,11,19.696969696969695
4,merge_sort,sorting,v1_clean,200000,57,50,0,0.0,5.0,11,4,42.452015158836254,A,317.12413313173494,6.0,1902.7447987904097,0.10570804437724497,17,4,10.0,7,9.803921568627452
4,merge_sort,sorting,v2_medium,200000,66,60,0,0.0,5.0,11,4,40.20759037234928,A,406.96985660265733,6.617647058823529,2693.1828745764087,0.13565661886755245,35,7,12.25,6,11.666666666666666
4,merge_sort,sorting,v3_bad,200000,93,87,0,0.0,6.75,13,4,35.57074465722411,A,444.84010080270366,6.75,3002.6706804182495,0.14828003360090122,69,10,18.75,14,26.436781609195403
5,quick_sort,sorting,v1_clean,150000,53,45,0,0.0,3.6,11,5,44.920055253782735,A,250.05376155018962,4.413793103448276,1103.6855682215266,0.0833512538500632,14,4,6.8,7,0.0
5,quick_sort,sorting,v2_medium,150000,62,55,0,0.0,3.6,11,5,42.31500854675887,A,337.5257762909393,5.090909090909091,1718.3130429356909,0.11250859209697976,32,7,8.6,6,1.8181818181818181
5,quick_sort,sorting,v3_bad,150000,83,76,0,0.0,4.6,13,5,38.26331042590191,A,374.41226807444474,5.257142857142857,1968.3387807342237,0.12480408935814824,62,10,12.6,12,14.473684210526315
6,heap_sort,sorting,v1_clean,100000,52,45,0,0.0,5.25,11,4,42.93739264519278,A,402.1173000519233,7.833333333333333,3149.9188504067324,0.13403910001730776,17,4,8.75,7,0.0
6,heap_sort,sorting,v2_medium,100000,61,55,0,0.0,5.25,11,4,40.606815755647546,A,495.93825547827504,8.55,4240.272084339252,0.16531275182609168,35,7,11.0,6,1.8181818181818181
6,heap_sort,sorting,v3_bad,100000,86,80,0,0.0,7.0,13,4,35.883856014245254,A,535.2045377012026,8.714285714285714,4663.92525711048,0.17840151256706754,68,10,17.0,14,18.75
7,counting_sort,sorting,v1_clean,500000,41,35,0,0.0,5.666666666666667,11,3,48.095816008612964,A,180.68572508221183,3.5714285714285716,645.3061610078994,0.06022857502740395,15,4,8.666666666666666,6,0.0
7,counting_sort,sorting,v2_medium,500000,50,45,0,0.0,5.666666666666667,11,3,44.817235421399104,A,265.0,4.9,1298.5,0.08833333333333333,33,7,11.666666666666666,5,2.2222222222222223
7,counting_sort,sorting,v3_bad,500000,76,71,0,0.0,7.666666666666667,13,3,39.31119251473933,A,300.16030763377006,5.055555555555555,1517.4771108151708,0.10005343587792336,65,10,20.0,12,22.535211267605632
8,radix_sort,sorting,v1_clean,200000,54,47,0,0.0,4.75,11,4,42.695648257536774,A,416.5941638758228,6.621621621621622,2758.5289229615296,0.13886472129194094,15,4,9.25,6,4.166666666666667
8,radix_sort,sorting,v2_medium,200000,63,57,0,0.0,4.75,11,4,40.434347330578994,A,513.0395746326983,7.914634146341464,4060.520535812454,0.17101319154423278,33,7,11.5,5,5.2631578947368425
8,radix_sort,sorting,v3_bad,200000,92,86,0,0.0,6.5,13,4,35.37117300323603,A,552.469200207693,8.05813953488372,4451.873903999201,0.184156400069231,66,10,18.5,13,24.41860465116279
9,shell_sort,sorting,v1_clean,50000,43,37,0,0.0,5.666666666666667,11,3,46.48325078295284,A,259.4606049037673,7.083333333333333,1837.8459514016852,0.08648686830125578,17,4,9.333333333333334,6,0.0
9,shell_sort,sorting,v2_medium,50000,52,47,0,0.0,5.666666666666667,11,3,43.56939815115142,A,348.83654644490844,8.642857142857142,3014.944437130994,0.11627884881496948,35,7,12.333333333333334,5,2.127659574468085
9,shell_sort,sorting,v3_bad,50000,77,72,0,0.0,7.333333333333333,13,3,38.550355465506456,A,385.74374433250205,8.8,3394.544950126018,0.12858124811083402,67,10,20.333333333333332,11,22.22222222222222
10,binary_search,sorting,v1_clean,50,53,44,1,1.8867924528301887,4.75,11,4,53.56009922612389,A,256.46415084724833,6.6,1692.663395591839,0.08548805028241611,18,4,9.0,7,2.1739130434782608
10,binary_search,sorting,v2_medium,50,60,54,0,0.0,4.75,11,4,42.16602999234546,A,343.5511442260462,7.413793103448276,2547.017103744825,0.11451704807534872,36,7,10.75,6,3.7037037037037037
10,binary_search,sorting,v3_bad,50,87,81,0,0.0,6.5,13,4,37.07353867055632,A,380.386192327884,7.580645161290323,2883.572748292024,0.126795397442628,74,10,17.25,13,20.987654320987655
11,ternary_search,sorting,v1_clean,40,57,50,0,0.0,5.25,11,4,41.98328363248647,A,399.0314892856283,8.693548387096774,3468.9995600798975,0.13301049642854276,22,4,10.0,10,1.9607843137254901
11,ternary_search,sorting,v2_medium,40,66,60,0,0.0,5.25,11,4,39.809233749816606,A,491.59701408907415,9.271428571428572,4557.8066020544165,0.1638656713630247,40,7,12.25,9,3.3333333333333335
11,ternary_search,sorting,v3_bad,40,95,89,0,0.0,7.5,13,4,34.631302245206435,A,530.57143756851,9.364864864864865,4968.729813986181,0.17685714585617,84,10,19.25,18,21.348314606741575
